depute,salaire_moyen
bony-jean-yves-1013,12386.962962962964
chenu-sebastien,12351.5
minot-maxime,12336.615384615385
rolland-vincent-7763,12306.055555555555
viala-arnaud,12277.625
anato-patrice,12274.90909090909
genevard-annie,12274.677419354839
person-pierre,12183.5
ardouin-jean-philippe,12142.857142857143
cubertafon-jean-pierre,12108.6875
reynes-bernard,12017.23076923077
di-pompeo-christophe,11996.827586206897
petit-maud,11996.0
barbier-frederic,11991.25
ramos-richard,11976.90909090909
perrut-bernard,11950.5
wulfranc-hubert,11916.095238095239
panonacle-sophie,11853.5
descoeur-vincent-3159,11830.770833333334
teissier-guy,11805.625
le-bohec-gael,11716.565217391304
lambert-francois-michel,11673.25
nadot-sebastien,11602.111111111111
pellois-herve,11585.0
miralles-patricia,11539.375
thourot-alice,11462.583333333334
bernalicis-ugo,11367.727272727272
cloarec-le-nabour-christine,11367.363636363636
mesnier-thomas,11133.652173913044
boudie-florent,11017.333333333334
lagleize-jean-luc,10970.275862068966
dufregne-jean-paul,10941.642857142857
moreau-jean-baptiste,10930.76923076923
bazin-malgras-valerie,10907.578947368422
cordier-pierre-2482,10755.42857142857
lebec-marie,10561.166666666666
duby-muller-virginie,10549.125
marsaud-sandra,10485.052631578947
arend-christophe,10427.47619047619
tan-buon,10426.816326530612
roussel-cedric,10384.892857142857
meynier-millefert-marjolaine,10381.785714285714
bilde-bruno,10328.483870967742
maillart-mehaignerie-laurence,10227.727272727272
poletti-berengere,10180.421052631578
thillaye-sabine,10136.636363636364
peyrol-benedicte,10115.9
liso-brigitte,10083.333333333334
benoit-thierry,10069.333333333334
schellenberger-raphael,10029.411764705883
khattabi-fadila,10014.545454545454
gassilloud-thomas,10006.09090909091
juanico-regis,10000.0
menard-emmanuelle,9893.08695652174
rilhac-cecile,9878.384615384615
pires-beaune-christine,9855.90909090909
mendes-ludovic,9800.0
muschotti-cecile,9788.666666666666
lachaud-bastien,9741.235294117647
dive-julien,9663.5
warsmann-jean-luc,9647.70588235294
matras-fabien,9611.764705882353
morenas-adrien,9560.333333333334
vialay-michel,9548.214285714286
thill-agnes,9389.75
maquet-emmanuel-5665,9374.14
fiat-caroline,9329.833333333334
faucillon-elsa,9298.851851851852
le-peih-nicole,9236.121212121212
bricout-guy-1917,9197.90909090909
rebeyrotte-remy,9160.727272727272
leclerc-sebastien,9097.033707865168
brocard-blandine,9078.454545454546
anthoine-emmanuelle-571,9042.39393939394
raphan-pierre-alain,8970.8125
fontenel-personne-pascale,8949.8
reda-robin,8880.5
zannier-helene,8877.3125
kerlogot-yannick,8815.391304347826
simian-benoit,8668.92857142857
castellani-michel,8654.774193548386
corbiere-alexis,8565.78947368421
baudu-stephane,8379.583333333334
vatin-pierre,8276.125
el-hairy-sarah,8130.636363636364
thieriot-jean-louis,8108.0526315789475
bolo-philippe,8073.311111111111
girardin-eric,8048.4838709677415
bothorel-eric,8020.6
peu-stephane,7920.896551724138
dupont-stella,7874.279069767442
lurton-gilles,7758.28
favennec-becot-yannick,7741.777777777777
dumont-pierre-henri,7732.677419354839
magnier-lise,7675.290322580645
josso-sandrine,7671.153846153846
freschi-alexandre,7662.35294117647
sorre-bertrand,7647.3
pradie-aurelien,7629.825
tabarot-michele,7622.071428571428
leclabart-jean-claude,7611.078947368421
bonnell-bruno,7450.05376344086
sarles-nathalie,7407.368421052632
lasserre-florence,7339.585365853659
blanchet-christophe,7274.53125
brenier-marine,7253.0
khedher-anissa,7247.0526315789475
belhaddad-belkhir,7225.0
trastour-isnart-laurence,7181.09375
acquaviva-jean-felix,7127.882352941177
coquerel-eric,7073.9
dubost-coralie,7050.0
lagarde-jean-christophe,7036.95
maquet-jacqueline,7000.0
jacques-jean-michel,6974.714285714285
jerretie-christophe,6965.6
grelier-jean-carles-9591,6869.90243902439
dumont-laurence,6848.571428571428
fasquelle-daniel,6816.382352941177
carvounas-luc,6798.318181818182
pajot-ludovic,6753.555555555556
becht-olivier,6726.396551724138
lenne-marion,6615.272727272727
marleix-olivier,6452.6875
magne-marie-ange,6442.5
boucard-ian,6429.2972972972975
pupponi-francois,6393.944444444444
saddier-martial,6391.976744186047
cinieri-dino,6262.0
roussel-fabien,6215.0
brindeau-pascal,6193.142857142857
mette-sophie,6052.666666666667
brulebois-danielle,6042.857142857143
lavergne-pascal,6000.0
larive-michel,5968.166666666667
di-filippo-fabien,5909.5526315789475
aubert-julien,5834.875
rupin-pacome,5631.235294117647
melchior-graziella,5572.0
ciotti-eric,5522.625
nury-jerome,5451.885714285714
vuilletet-guillaume,5447.9
damaisin-olivier,5402.5
huppe-philippe,5279.948717948718
de-vaucouleurs-michele,5227.179487179487
christophe-paul-6595,5191.620689655172
le-meur-annaig,5176.047619047619
levy-genevieve,4948.625
forissier-nicolas,4882.929577464789
cazenove-sebastien,4849.142857142857
gosselin-philippe,4737.166666666667
poueyto-josy-7484,4562.032258064516
biemouret-gisele,4559.625
bazin-thibault,4550.767605633803
vigier-jean-pierre,4457.586206896552
da-silva-dominique,4413.6875
vercamer-francis,4394.652173913043
de-la-verpilliere-charles,4274.045454545455
breton-xavier,4121.666666666667
folliot-philippe,4110.888888888889
houbron-dimitri,4035.4
marlin-franck,4022.78125
autain-clementine,3972.9756097560976
brugnera-anne,3937.2842105263157
auconie-sophie,3720.4242424242425
bonnivard-emilie,3565.154929577465
michel-kleisbauer-philippe,3534.5
pouzyreff-natalia,3513.235294117647
verchere-patrice,3354.6428571428573
cattin-jacques,3326.2127659574467
bournazel-pierre-yves,3238.0887096774195
bono-vandorme-aude,3205.8852459016393
lacroute-valerie,3147.32
balanant-erwan,3137.0714285714284
romeiro-dias-laetitia,3071.4285714285716
le-feur-sandrine,3051.7272727272725
blein-yves,2968.294736842105
amadou-aude,2886.0555555555557
huyghe-sebastien,2883.4375
lejeune-christophe,2854.8
dubre-chirat-nicole,2792.8571428571427
sermier-jean-marie,2641.507692307692
cazarian-daniele,2567.9268292682927
woerth-eric,2548.519230769231
rouillard-gwendal,2440.0
de-courson-charles,2193.9024390243903
abadie-caroline,2129.5833333333335
vignal-patrick,2126.25
hutin-christian,2048.1555555555556
clement-jean-michel,2029.0625
